t,v,s,r
2020-12-04T09:38-07:00,12484,0,1
2020-12-04T09:53-07:00,-1,0,3
2020-12-04T10:08-07:00,-1,0,3
2020-12-04T10:23-07:00,-1,0,3
2020-12-04T10:38-07:00,-1,0,3
2020-12-04T10:53-07:00,-1,0,3
2020-12-04T11:08-07:00,-1,0,3
2020-12-04T11:23-07:00,-1,0,3
2020-12-04T11:38-07:00,-1,0,3
2020-12-04T11:53-07:00,-1,0,3
2020-12-04T12:08-07:00,-1,0,3
2020-12-04T12:23-07:00,-1,0,3
2020-12-04T12:38-07:00,-1,0,3
2020-12-04T12:53-07:00,-1,0,3
2020-12-04T13:08-07:00,-1,0,3
2020-12-04T13:23-07:00,-1,0,3
2020-12-04T13:38-07:00,-1,0,3
2020-12-04T13:53-07:00,-1,0,3
2020-12-04T14:08-07:00,-1,0,3
2020-12-04T14:23-07:00,-1,0,3
2020-12-04T14:38-07:00,-1,0,3
2020-12-04T14:53-07:00,-1,0,3
2020-12-04T15:08-07:00,-1,0,3
2020-12-04T15:23-07:00,-1,0,3
2020-12-04T15:38-07:00,-1,0,3
2020-12-04T15:53-07:00,-1,0,3
2020-12-04T16:08-07:00,-1,0,3
2020-12-04T16:23-07:00,-1,0,3
2020-12-04T16:38-07:00,-1,0,3
2020-12-04T16:53-07:00,-1,0,3
2020-12-04T17:08-07:00,-1,0,3
2020-12-04T17:23-07:00,-1,0,3
2020-12-04T17:38-07:00,-1,0,3
2020-12-04T17:53-07:00,-1,0,3
2020-12-04T18:08-07:00,-1,0,3
2020-12-04T18:23-07:00,-1,0,3
2020-12-04T18:38-07:00,-1,0,3
2020-12-04T18:53-07:00,-1,0,3
2020-12-04T19:08-07:00,-1,0,3
2020-12-04T19:23-07:00,-1,0,3
2020-12-04T19:38-07:00,-1,0,3
2020-12-04T19:53-07:00,-1,0,3
2020-12-04T20:08-07:00,-1,0,3
2020-12-04T20:23-07:00,-1,0,3
2020-12-04T20:38-07:00,-1,0,3
2020-12-04T20:53-07:00,-1,0,3
2020-12-04T21:08-07:00,-1,0,3
2020-12-04T21:23-07:00,-1,0,3
2020-12-04T21:38-07:00,-1,0,3
2020-12-04T21:53-07:00,-1,0,3
2020-12-04T22:08-07:00,-1,0,3
2020-12-04T22:23-07:00,-1,0,3
2020-12-04T22:38-07:00,-1,0,3
2020-12-04T22:53-07:00,-1,0,3
2020-12-04T23:08-07:00,-1,0,3
2020-12-04T23:23-07:00,-1,0,3
2020-12-04T23:38-07:00,-1,0,3
2020-12-04T23:53-07:00,-1,0,3
2020-12-05T00:08-07:00,-1,0,3
2020-12-05T00:23-07:00,-1,0,3
2020-12-05T00:38-07:00,-1,0,3
2020-12-05T00:53-07:00,-1,0,3
2020-12-05T01:08-07:00,-1,0,3
2020-12-05T01:23-07:00,-1,0,3
2020-12-05T01:38-07:00,-1,0,3
2020-12-05T01:53-07:00,-1,0,3
2020-12-05T02:08-07:00,-1,0,3
2020-12-05T02:23-07:00,-1,0,3
2020-12-05T02:38-07:00,-1,0,3
2020-12-05T02:53-07:00,-1,0,3
2020-12-05T03:08-07:00,-1,0,3
2020-12-05T03:23-07:00,-1,0,3
2020-12-05T03:38-07:00,-1,0,3
2020-12-05T03:53-07:00,-1,0,3
2020-12-05T04:08-07:00,-1,0,3
2020-12-05T04:23-07:00,-1,0,3
2020-12-05T04:38-07:00,-1,0,3
2020-12-05T04:53-07:00,-1,0,3
2020-12-05T05:08-07:00,-1,0,3
2020-12-05T05:23-07:00,-1,0,3
2020-12-05T05:38-07:00,-1,0,3
2020-12-05T05:53-07:00,-1,0,3
2020-12-05T06:08-07:00,-1,0,3
2020-12-05T06:23-07:00,-1,0,3
2020-12-05T06:38-07:00,-1,0,3
2020-12-05T06:53-07:00,-1,0,3
2020-12-05T07:08-07:00,-1,0,3
2020-12-05T07:23-07:00,-1,0,3
2020-12-05T07:38-07:00,-1,0,3
2020-12-05T07:53-07:00,-1,0,3
2020-12-05T08:08-07:00,-1,0,3
2020-12-05T08:23-07:00,-1,0,3
2020-12-05T08:38-07:00,-1,0,3
2020-12-05T08:53-07:00,-1,0,3
2020-12-05T09:08-07:00,-1,0,3
2020-12-05T09:23-07:00,-1,0,3
2020-12-05T09:38-07:00,-1,0,3
2020-12-05T09:53-07:00,-1,0,3
2020-12-05T10:08-07:00,-1,0,3
2020-12-05T10:23-07:00,-1,0,3
2020-12-05T10:38-07:00,-1,0,3
2020-12-05T10:53-07:00,-1,0,3
2020-12-05T11:08-07:00,-1,0,3
2020-12-05T11:23-07:00,-1,0,3
2020-12-05T11:38-07:00,-1,0,3
2020-12-05T11:53-07:00,-1,0,3
2020-12-05T12:08-07:00,-1,0,3
2020-12-05T12:23-07:00,-1,0,3
2020-12-05T12:38-07:00,-1,0,3
2020-12-05T12:53-07:00,-1,0,3
2020-12-05T13:08-07:00,-1,0,3
2020-12-05T13:23-07:00,-1,0,3
2020-12-05T13:38-07:00,-1,0,3
2020-12-05T13:53-07:00,-1,0,3
2020-12-05T14:08-07:00,-1,0,3
2020-12-05T14:23-07:00,-1,0,3
2020-12-05T14:38-07:00,-1,0,3
2020-12-05T14:53-07:00,-1,0,3
2020-12-05T15:08-07:00,-1,0,3
2020-12-05T15:23-07:00,-1,0,3
2020-12-05T15:38-07:00,-1,0,3
2020-12-05T15:53-07:00,-1,0,3
2020-12-05T16:08-07:00,-1,0,3
2020-12-05T16:23-07:00,-1,0,3
2020-12-05T16:38-07:00,-1,0,3
2020-12-05T16:53-07:00,-1,0,3
2020-12-05T17:08-07:00,-1,0,3
2020-12-05T17:23-07:00,-1,0,3
2020-12-05T17:38-07:00,-1,0,3
2020-12-05T17:53-07:00,-1,0,3
2020-12-05T18:08-07:00,-1,0,3
2020-12-05T18:23-07:00,-1,0,3
2020-12-05T18:38-07:00,-1,0,3
2020-12-05T18:53-07:00,-1,0,3
2020-12-05T19:08-07:00,-1,0,3
2020-12-05T19:23-07:00,-1,0,3
2020-12-05T19:38-07:00,-1,0,3
2020-12-05T19:53-07:00,-1,0,3
2020-12-05T20:08-07:00,-1,0,3
2020-12-05T20:23-07:00,-1,0,3
2020-12-05T20:38-07:00,-1,0,3
2020-12-05T20:53-07:00,-1,0,3
2020-12-05T21:08-07:00,-1,0,3
2020-12-05T21:23-07:00,-1,0,3
2020-12-05T21:38-07:00,-1,0,3
2020-12-05T21:53-07:00,-1,0,3
2020-12-05T22:08-07:00,-1,0,3
2020-12-05T22:23-07:00,-1,0,3
2020-12-05T22:38-07:00,-1,0,3
2020-12-05T22:53-07:00,-1,0,3
2020-12-05T23:08-07:00,-1,0,3
2020-12-05T23:23-07:00,-1,0,3
2020-12-05T23:38-07:00,-1,0,3
2020-12-05T23:53-07:00,-1,0,3
2020-12-06T00:08-07:00,-1,0,3
2020-12-06T00:23-07:00,-1,0,3
2020-12-06T00:38-07:00,-1,0,3
2020-12-06T00:53-07:00,-1,0,3
2020-12-06T01:08-07:00,-1,0,3
2020-12-06T01:23-07:00,-1,0,3
2020-12-06T01:38-07:00,-1,0,3
2020-12-06T01:53-07:00,-1,0,3
2020-12-06T02:08-07:00,-1,0,3
2020-12-06T02:23-07:00,-1,0,3
2020-12-06T02:38-07:00,-1,0,3
2020-12-06T02:53-07:00,-1,0,3
2020-12-06T03:08-07:00,-1,0,3
2020-12-06T03:23-07:00,-1,0,3
2020-12-06T03:38-07:00,-1,0,3
2020-12-06T03:53-07:00,-1,0,3
2020-12-06T04:08-07:00,-1,0,3
2020-12-06T04:23-07:00,-1,0,3
2020-12-06T04:38-07:00,-1,0,3
2020-12-06T04:53-07:00,-1,0,3
2020-12-06T05:08-07:00,-1,0,3
2020-12-06T05:23-07:00,-1,0,3
