t,v,s,r
2022-03-31T23:45-07:00,0.0,0,0
2022-04-01T00:00-07:00,0.0,0,0
2022-04-01T00:15-07:00,0.0,0,0
2022-04-01T00:30-07:00,0.0,0,0
2022-04-01T00:45-07:00,0.0,0,0
2022-04-01T01:00-07:00,0.0,0,0
2022-04-01T01:15-07:00,0.0,0,0
2022-04-01T01:30-07:00,0.0,0,0
2022-04-01T01:45-07:00,0.0,0,0
2022-04-01T02:00-07:00,0.0,0,0
2022-04-01T02:15-07:00,0.0,0,0
2022-04-01T02:30-07:00,0.0,0,0
2022-04-01T02:45-07:00,0.0,0,0
2022-04-01T03:00-07:00,0.0,0,0
2022-04-01T03:15-07:00,0.0,0,0
2022-04-01T03:30-07:00,0.0,0,0
2022-04-01T03:45-07:00,0.0,0,0
2022-04-01T04:00-07:00,0.0,0,0
2022-04-01T04:15-07:00,0.0,0,0
2022-04-01T04:30-07:00,0.0,0,0
2022-04-01T04:45-07:00,0.0,0,0
2022-04-01T05:00-07:00,0.0,0,0
2022-04-01T05:15-07:00,0.0,0,0
2022-04-01T05:30-07:00,0.0,0,0
2022-04-01T05:45-07:00,0.0,0,0
2022-04-01T06:00-07:00,0.0,0,0
2022-04-01T06:15-07:00,0.0,0,0
2022-04-01T06:30-07:00,0.0,0,0
2022-04-01T06:45-07:00,0.0,0,0
2022-04-01T07:00-07:00,0.0,0,0
2022-04-01T07:15-07:00,0.0,0,0
2022-04-01T07:30-07:00,0.0,0,0
2022-04-01T07:45-07:00,0.0,0,0
2022-04-01T08:00-07:00,0.0,0,0
2022-04-01T08:15-07:00,0.0,0,0
2022-04-01T08:30-07:00,0.0,0,0
2022-04-01T08:45-07:00,0.0,0,0
2022-04-01T09:00-07:00,0.0,0,0
2022-04-01T09:15-07:00,0.0,0,0
2022-04-01T09:30-07:00,0.0,0,0
2022-04-01T09:45-07:00,0.0,0,0
2022-04-01T10:00-07:00,0.0,0,0
2022-04-01T10:15-07:00,0.0,0,0
2022-04-01T10:30-07:00,0.0,0,0
2022-04-01T10:45-07:00,0.0,0,0
2022-04-01T11:00-07:00,0.0,0,0
2022-04-01T11:15-07:00,0.0,0,0
2022-04-01T11:30-07:00,0.0,0,0
2022-04-01T11:45-07:00,0.0,0,0
2022-04-01T12:00-07:00,0.1867835223674774,0,0
2022-04-01T12:15-07:00,0.2269483208656311,0,0
2022-04-01T12:30-07:00,0.0,0,0
2022-04-01T12:45-07:00,0.3483423888683319,0,0
2022-04-01T13:00-07:00,0.3475452661514282,0,0
2022-04-01T13:15-07:00,2.19913649559021,0,0
2022-04-01T13:30-07:00,0.0,0,0
2022-04-01T13:45-07:00,0.6783340573310852,0,0
